source,author,title,group_id,work_id,urn,output
linc.doug.ie.xml,Abraham Lincoln,Debates of Lincoln and Douglas: Carefully Prepared by the Reporters of Each Party at the times of their Delivery.,abraham_lincoln,linc_doug,urn:cts:americanLit:abraham_lincoln.linc_doug.perseus-eng1,data/abraham_lincoln/linc_doug/abraham_lincoln.linc_doug.perseus-eng1.xml
linc.hern.ie.xml,William H. Herndon,Herndon's Lincoln: The True Story of a Great Life,william_h_herndon,linc_hern,urn:cts:americanLit:william_h_herndon.linc_hern.perseus-eng1,data/william_h_herndon/linc_hern/william_h_herndon.linc_hern.perseus-eng1.xml
linn.greeley.ie.xml,William Alexander Linn,Horace Greeley Founder and Editor of The New York Tribune,william_alexander_linn,linn_greeley,urn:cts:americanLit:william_alexander_linn.linn_greeley.perseus-eng1,data/william_alexander_linn/linn_greeley/william_alexander_linn.linn_greeley.perseus-eng1.xml
logan.wife.ie.xml,Mrs. John A. Logan,Reminiscences of a Soldier's Wife: An Autobiography,mrs_john_a_logan,logan_wife,urn:cts:americanLit:mrs_john_a_logan.logan_wife.perseus-eng1,data/mrs_john_a_logan/logan_wife/mrs_john_a_logan.logan_wife.perseus-eng1.xml
long.mem.ie.xml,General James Longstreet,From Manassas to Appomattox,general_james_longstreet,long_mem,urn:cts:americanLit:general_james_longstreet.long_mem.perseus-eng1,data/general_james_longstreet/long_mem/general_james_longstreet.long_mem.perseus-eng1.xml
lossing.field.01.ie.xml,Benson J. Lossing,Pictorial Field Book of the Civil War. Volume 1.,benson_j_lossing,lossing_field_01,urn:cts:americanLit:benson_j_lossing.lossing_field_01.perseus-eng1,data/benson_j_lossing/lossing_field_01/benson_j_lossing.lossing_field_01.perseus-eng1.xml
lossing.field.02.ie.xml,Benson J. Lossing,Pictorial Field Book of the Civil War. Volume 2.,benson_j_lossing,lossing_field_02,urn:cts:americanLit:benson_j_lossing.lossing_field_02.perseus-eng1,data/benson_j_lossing/lossing_field_02/benson_j_lossing.lossing_field_02.perseus-eng1.xml
lossing.field.03.ie.xml,Benson J. Lossing,Pictorial Field Book of the Civil War. Volume 3.,benson_j_lossing,lossing_field_03,urn:cts:americanLit:benson_j_lossing.lossing_field_03.perseus-eng1,data/benson_j_lossing/lossing_field_03/benson_j_lossing.lossing_field_03.perseus-eng1.xml
lowell.books.ie.xml,James Russell Lowell,Among my books,james_russell_lowell,lowell_books,urn:cts:americanLit:james_russell_lowell.lowell_books.perseus-eng1,data/james_russell_lowell/lowell_books/james_russell_lowell.lowell_books.perseus-eng1.xml
lyman.grant.ie.xml,Colonel Theodore Lyman,With Grant and Meade from the Wilderness to Appomattox,colonel_theodore_lyman,lyman_grant,urn:cts:americanLit:colonel_theodore_lyman.lyman_grant.perseus-eng1,data/colonel_theodore_lyman/lyman_grant/colonel_theodore_lyman.lyman_grant.perseus-eng1.xml
